Average,buff_average,ubuff_average,Piezo_avg
4.61361e-13,7.68935e-06,7.68935e-06,0
3.45774e-13,7.7278e-06,7.6509e-06,3.22279e-12
2.58108e-13,7.75189e-06,7.62681e-06,4.9656e-13
2.40328e-13,7.76363e-06,7.61507e-06,2.73743e-12
2.15256e-13,7.77253e-06,7.60617e-06,9.13223e-13
2.21783e-13,7.77717e-06,7.60154e-06,2.43427e-12
2.09568e-13,7.78291e-06,7.59579e-06,9.87894e-13
2.20455e-13,7.78648e-06,7.59222e-06,2.4604e-12
2.09558e-13,7.79195e-06,7.58675e-06,1.01403e-12
2.20533e-13,7.79547e-06,7.58323e-06,2.45144e-12
2.10757e-13,7.80091e-06,7.57779e-06,1.11409e-12
2.20527e-13,7.80461e-06,7.57409e-06,2.39693e-12
2.12161e-13,7.81e-06,7.5687e-06,1.23729e-12
2.18553e-13,7.8139e-06,7.5648e-06,2.13857e-12
2.11133e-13,7.81891e-06,7.55979e-06,1.18278e-12
2.17446e-13,7.82258e-06,7.55612e-06,2.04299e-12
2.11665e-13,7.82735e-06,7.55135e-06,1.25596e-12
2.18219e-13,7.83108e-06,7.54763e-06,2.08779e-12
2.12029e-13,7.83594e-06,7.54276e-06,1.25073e-12
2.19489e-13,7.83969e-06,7.53901e-06,2.18711e-12
2.13236e-13,7.84473e-06,7.53397e-06,1.31271e-12
2.18312e-13,7.84865e-06,7.53005e-06,2.01462e-12
2.16247e-13,7.85344e-06,7.52526e-06,1.63604e-12
2.18333e-13,7.85785e-06,7.52085e-06,1.90336e-12
2.16669e-13,7.8626e-06,7.5161e-06,1.65993e-12
2.17525e-13,7.86703e-06,7.51167e-06,1.79135e-12
2.16248e-13,7.8716e-06,7.5071e-06,1.62708e-12
2.1623e-13,7.87592e-06,7.50278e-06,1.65844e-12
2.1883e-13,7.88021e-06,7.49849e-06,1.91082e-12
2.12473e-13,7.88494e-06,7.49376e-06,1.18129e-12
2.21791e-13,7.88852e-06,7.49018e-06,2.31031e-12
2.15825e-13,7.89372e-06,7.48498e-06,1.40082e-12
2.16834e-13,7.89785e-06,7.48085e-06,1.69055e-12
2.20535e-13,7.90214e-06,7.47656e-06,2.01984e-12
2.16032e-13,7.90706e-06,7.47165e-06,1.43816e-12
2.19589e-13,7.91116e-06,7.46754e-06,1.93397e-12
2.16296e-13,7.91586e-06,7.46284e-06,1.47923e-12
2.17274e-13,7.91997e-06,7.45873e-06,1.6771e-12
2.16695e-13,7.92423e-06,7.45447e-06,1.57929e-12
2.18736e-13,7.92837e-06,7.45033e-06,1.79434e-12
2.16846e-13,7.93284e-06,7.44586e-06,1.53e-12
2.19509e-13,7.93696e-06,7.44174e-06,1.85034e-12
2.15925e-13,7.94152e-06,7.43718e-06,1.3956e-12
2.16565e-13,7.94544e-06,7.43326e-06,1.56958e-12
2.19059e-13,7.94944e-06,7.42926e-06,1.7906e-12
2.1858e-13,7.95387e-06,7.42483e-06,1.65246e-12
2.20207e-13,7.95818e-06,7.42052e-06,1.82271e-12
2.18035e-13,7.96276e-06,7.41594e-06,1.5427e-12
2.1788e-13,7.96694e-06,7.41176e-06,1.59123e-12
2.18162e-13,7.97107e-06,7.40763e-06,1.61662e-12
2.18163e-13,7.97523e-06,7.40347e-06,1.59945e-12
2.2055e-13,7.97937e-06,7.39933e-06,1.83018e-12
2.18921e-13,7.9839e-06,7.3948e-06,1.57929e-12
2.19101e-13,7.98813e-06,7.39057e-06,1.6435e-12
2.19212e-13,7.99237e-06,7.38633e-06,1.64052e-12
2.20808e-13,7.99661e-06,7.38209e-06,1.78836e-12
2.1877e-13,8.0011e-06,7.3776e-06,1.52254e-12
2.22716e-13,8.00521e-06,7.37349e-06,1.97728e-12
2.1728e-13,8.00999e-06,7.36871e-06,1.2918e-12
2.21105e-13,8.0138e-06,7.3649e-06,1.84885e-12
2.21626e-13,8.01826e-06,7.36044e-06,1.76522e-12
2.17946e-13,8.02278e-06,7.35592e-06,1.37095e-12
2.23608e-13,8.02665e-06,7.35205e-06,2.0527e-12
2.18888e-13,8.03147e-06,7.34724e-06,1.38066e-12
2.21287e-13,8.03545e-06,7.34325e-06,1.77268e-12
2.22258e-13,8.03983e-06,7.33887e-06,1.7809e-12
2.19352e-13,8.04435e-06,7.33435e-06,1.44861e-12
2.23272e-13,8.04836e-06,7.33034e-06,1.93099e-12
2.20896e-13,8.05301e-06,7.32569e-06,1.55166e-12
2.24737e-13,8.05724e-06,7.32146e-06,2.00864e-12
2.19859e-13,8.06209e-06,7.31661e-06,1.37992e-12
2.22982e-13,8.0661e-06,7.3126e-06,1.85109e-12
2.25219e-13,8.07061e-06,7.30809e-06,1.96011e-12
2.21099e-13,8.07549e-06,7.30321e-06,1.46131e-12
2.23726e-13,8.07964e-06,7.29907e-06,1.85781e-12
2.19867e-13,8.08421e-06,7.29449e-06,1.37319e-12
2.21689e-13,8.0881e-06,7.2906e-06,1.67934e-12
2.19645e-13,8.09229e-06,7.28641e-06,1.4053e-12
2.25793e-13,8.09611e-06,7.28259e-06,2.08182e-12
2.17227e-13,8.10095e-06,7.27775e-06,1.00507e-12
2.29344e-13,8.1043e-06,7.2744e-06,2.50147e-12
2.16044e-13,8.1097e-06,7.269e-06,7.43721e-13
2.30875e-13,8.1128e-06,7.2659e-06,2.67695e-12
2.17184e-13,8.11841e-06,7.26029e-06,7.85536e-13
2.29618e-13,8.12167e-06,7.25703e-06,2.49699e-12
2.20136e-13,8.12702e-06,7.25168e-06,1.10961e-12
2.28555e-13,8.13075e-06,7.24795e-06,2.27522e-12
2.18484e-13,8.13588e-06,7.24282e-06,9.65493e-13
2.29167e-13,8.13928e-06,7.23942e-06,2.37528e-12
2.17129e-13,8.14447e-06,7.23423e-06,7.9151e-13
2.30864e-13,8.14759e-06,7.23111e-06,2.5739e-12
2.17028e-13,8.15302e-06,7.22568e-06,7.03398e-13
2.30598e-13,8.15608e-06,7.22262e-06,2.53432e-12
2.19072e-13,8.16142e-06,7.21728e-06,9.01276e-13
2.30926e-13,8.1648e-06,7.2139e-06,2.4828e-12
2.16881e-13,8.17015e-06,7.20855e-06,6.53369e-13
2.32234e-13,8.1731e-06,7.2056e-06,2.67023e-12
2.18883e-13,8.17863e-06,7.20007e-06,7.8927e-13
2.29256e-13,8.18188e-06,7.19682e-06,2.2894e-12
2.20407e-13,8.18688e-06,7.19182e-06,1.03419e-12
2.30797e-13,8.19035e-06,7.18835e-06,2.37602e-12
