Piezo_Open1,Piezo_Inactive1,Piezo_Inactive_held,Piezo_Closed1,Piezo_Open2,Piezo_Closed2,Substrate,Voltage,Current,10,20,30,40,50,60,P10,P20,P30,P40,P50,P60
0,0,0,1,0,1,0.151337,0.000228467,,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
0.000156507,0,0,0.999843,0.0135925,1.03209e-311,0.140464,0.000192033,,-0.00547497,-0.00547595,-0.0054951,-0.00597518,-0.00533017,-0.00574573,-0.0033975,-0.00339617,-0.00340393,-0.00339454,-0.00340651,-0.00339813
0.000288176,1.23432e-05,1.7037e-07,0.999699,0.0136148,7.02305e+199,0.127444,0.00018886,,-0.00725792,-0.00741829,-0.00744422,-0.00789174,-0.00708772,-0.00772667,-0.00339938,-0.00340003,-0.00339523,-0.00340135,-0.00340298,-0.00340369
0.000396809,3.52149e-05,3.15312e-07,0.999568,0.0135849,1.33537e-231,0.128646,0.000221019,,-0.00906909,-0.00911336,-0.00923079,-0.00945988,-0.00887097,-0.00934899,-0.00339644,-0.00339793,-0.00339474,-0.00339454,-0.00339752,-0.00339623
0.00050032,6.67506e-05,4.36358e-07,0.999432,0.0136191,1.03209e-311,0.1523,0.000222345,,-0.0106343,-0.0108498,-0.010843,-0.0108936,-0.010447,-0.0109104,-0.00339519,-0.00339866,-0.00340592,-0.003401,-0.00339598,-0.00340476
0.000617128,0.000106508,5.49326e-07,0.999276,0.0135848,1.03209e-311,0.1452,0.000178499,,-0.0122982,-0.0123916,-0.0124391,-0.0125584,-0.0121784,-0.0126542,-0.00339484,-0.00340074,-0.00339495,-0.0033968,-0.00339985,-0.0033962
0.000715151,0.000155509,6.78253e-07,0.999129,0.0135954,-5.34656e+235,0.134274,0.000214429,,-0.0138142,-0.0135829,-0.0139696,-0.0137769,-0.0136515,-0.0141275,-0.00339584,-0.00339557,-0.00339616,-0.00339663,-0.00340176,-0.00339885
0.00079763,0.00021227,7.86231e-07,0.998989,0.0135899,0.000207242,0.130619,0.000212355,,-0.0149219,-0.0148357,-0.0151319,-0.0148061,-0.0148278,-0.0153635,-0.00339793,-0.00339748,-0.0033949,-0.00339782,-0.00339691,-0.00339748
0.000870042,0.00027553,8.77688e-07,0.998854,0.0135958,1.43279e-322,0.132965,0.000218617,,-0.0157262,-0.0158728,-0.0166141,-0.0160703,-0.0162217,-0.0164513,-0.00339672,-0.00340403,-0.00339767,-0.00339591,-0.00339565,-0.00339894
0.000939252,0.000344464,9.57815e-07,0.998715,0.0135983,1.03209e-311,0.151352,0.000194442,,-0.0167003,-0.0167536,-0.0179138,-0.0173295,-0.0170331,-0.0174903,-0.00339511,-0.00339459,-0.00339514,-0.00339777,-0.00339546,-0.00339957
0.00101801,0.000418799,1.03255e-06,0.998562,0.0135773,nan,0.135754,0.00019169,,-0.0177389,-0.0175877,-0.0189147,-0.018178,-0.0182194,-0.0186665,-0.00339748,-0.00339469,-0.00340294,-0.00340156,-0.00339905,-0.00339433
0.00107614,0.000499269,1.12121e-06,0.998423,0.0136034,0.00020394,0.129871,0.000194059,,-0.0187438,-0.0187128,-0.0195335,-0.0190136,-0.0191584,-0.0195452,-0.00340094,-0.00339494,-0.00339982,-0.00339583,-0.00339817,-0.00340086
0.00112423,0.000584252,1.18443e-06,0.99829,0.0135897,0.000202678,0.143483,0.000200628,,-0.0195048,-0.0196799,-0.0205284,-0.0198751,-0.0201515,-0.0202632,-0.00339809,-0.00339446,-0.00339443,-0.00339895,-0.00339557,-0.00339741
