V,V2
-70,-69.9997
-69.9997,-69.9994
-69.9994,-69.999
-69.999,-69.9987
-69.9987,-69.9984
-69.9984,-69.9981
-69.9981,-69.9978
-69.9978,-69.9974
-69.9974,-69.9971
-69.9971,-69.9968
-69.9968,-69.9965
-69.9965,-69.9961
-69.9961,-69.9958
-69.9958,-69.9955
-69.9955,-69.9951
-69.9951,-69.9948
-69.9948,-69.9944
-69.9944,-69.9941
-69.9941,-69.9937
-69.9937,-69.9933
-69.9933,-69.9929
-69.9929,-69.9926
-69.9926,-69.9922
-69.9922,-69.9917
-69.9917,-69.9913
-69.9913,-69.9909
-69.9909,-69.9904
-69.9904,-69.99
-69.99,-69.9895
-69.9895,-69.989
-69.989,-69.9885
-69.9885,-69.988
-69.988,-69.9875
-69.9875,-69.9869
-69.9869,-69.9864
-69.9864,-69.9858
-69.9858,-69.9852
-69.9852,-69.9846
-69.9846,-69.984
-69.984,-69.9833
-69.9833,-69.9827
-69.9827,-69.982
-69.982,-69.9813
-69.9813,-69.9806
-69.9806,-69.9799
-69.9799,-69.9791
-69.9791,-69.9783
-69.9783,-69.9776
-69.9776,-69.9768
-69.9768,-69.9759
-69.9759,-69.9751
-69.9751,-69.9742
-69.9742,-69.9734
-69.9734,-69.9725
-69.9725,-69.9716
-69.9716,-69.9706
-69.9706,-69.9697
-69.9697,-69.9687
-69.9687,-69.9677
-69.9678,-69.9667
-69.9667,-69.9657
-69.9657,-69.9647
-69.9647,-69.9636
-69.9636,-69.9626
-69.9626,-69.9615
-69.9615,-69.9604
-69.9604,-69.9592
-69.9592,-69.9581
-69.9581,-69.9569
-69.9569,-69.9557
-69.9558,-69.9545
-69.9546,-69.9533
-69.9533,-69.9521
-69.9521,-69.9509
-69.9509,-69.9496
-69.9496,-69.9483
-69.9483,-69.947
-69.947,-69.9457
-69.9457,-69.9444
-69.9444,-69.943
-69.943,-69.9416
-69.9417,-69.9403
-69.9403,-69.9389
-69.9389,-69.9374
-69.9375,-69.936
-69.936,-69.9346
-69.9346,-69.9331
-69.9331,-69.9316
-69.9317,-69.9301
-69.9302,-69.9286
-69.9286,-69.9271
-69.9271,-69.9256
-69.9256,-69.924
-69.924,-69.9224
-69.9225,-69.9208
-69.9209,-69.9192
-69.9193,-69.9176
-69.9177,-69.916
-69.916,-69.9144
-69.9144,-69.9127
-69.9127,-69.911
-69.9111,-69.9093
-69.9094,-69.9076
-69.9077,-69.9059
-69.9059,-69.9042
-69.9042,-69.9024
-69.9025,-69.9007
-69.9007,-69.8989
-69.8989,-69.8971
-69.8971,-69.8953
-69.8953,-69.8935
-69.8935,-69.8916
-69.8917,-69.8898
-69.8899,-69.8879
-69.888,-69.8861
-69.8861,-69.8842
-69.8842,-69.8823
-69.8824,-69.8804
-69.8804,-69.8785
-69.8785,-69.8765
-69.8766,-69.8746
-69.8746,-69.8726
-69.8727,-69.8706
-69.8707,-69.8686
-69.8687,-69.8666
-69.8667,-69.8646
-69.8647,-69.8626
-69.8627,-69.8605
-69.8606,-69.8585
-69.8586,-69.8564
-69.8565,-69.8543
-69.8544,-69.8523
-69.8524,-69.8502
-69.8503,-69.848
-69.8481,-69.8459
-69.846,-69.8438
-69.8439,-69.8416
-69.8417,-69.8395
-69.8396,-69.8373
-69.8374,-69.8351
-69.8352,-69.8329
-69.833,-69.8307
-69.8308,-69.8285
-69.8286,-69.8262
-69.8264,-69.824
-69.8241,-69.8217
-69.8219,-69.8194
-69.8196,-69.8172
-69.8173,-69.8149
-69.815,-69.8126
-69.8127,-69.8103
-69.8104,-69.8079
-69.8081,-69.8056
-69.8058,-69.8032
-69.8034,-69.8009
-69.8011,-69.7985
-69.7987,-69.7961
-69.7963,-69.7937
-69.7939,-69.7913
-69.7915,-69.7889
-69.7891,-69.7865
-69.7867,-69.7841
-69.7843,-69.7816
-69.7818,-69.7792
-69.7794,-69.7767
-69.7769,-69.7742
-69.7745,-69.7717
-69.772,-69.7693
-69.7695,-69.7667
-69.767,-69.7642
-69.7645,-69.7617
-69.7619,-69.7592
-69.7594,-69.7566
-69.7569,-69.7541
-69.7543,-69.7515
-69.7518,-69.7489
-69.7492,-69.7463
-69.7466,-69.7437
-69.744,-69.7411
-69.7414,-69.7385
-69.7388,-69.7359
-69.7362,-69.7333
-69.7336,-69.7306
-69.7309,-69.728
-69.7283,-69.7253
-69.7256,-69.7226
-69.723,-69.72
-69.7203,-69.7173
-69.7176,-69.7146
-69.7149,-69.7119
-69.7122,-69.7092
-69.7095,-69.7064
-69.7068,-69.7037
-69.7041,-69.701
-69.7013,-69.6982
-69.6986,-69.6955
-69.6958,-69.6927
-69.6931,-69.6899
-69.6903,-69.6871
-69.6875,-69.6843
-69.6847,-69.6815
-69.682,-69.6787
-69.6792,-69.6759
-69.6763,-69.6731
-69.6735,-69.6703
-69.6707,-69.6674
-69.6679,-69.6646
-69.665,-69.6617
-69.6622,-69.6589
-69.6593,-69.656
-69.6565,-69.6531
-69.6536,-69.6502
-69.6507,-69.6473
-69.6478,-69.6444
-69.645,-69.6415
-69.6421,-69.6386
-69.6391,-69.6357
-69.6362,-69.6328
-69.6333,-69.6298
-69.6304,-69.6269
-69.6275,-69.6239
-69.6245,-69.621
-69.6216,-69.618
-69.6186,-69.615
-69.6157,-69.6121
-69.6127,-69.6091
-69.6097,-69.6061
-69.6067,-69.6031
-69.6037,-69.6001
-69.6008,-69.5971
-69.5978,-69.5941
-69.5948,-69.5911
-69.5917,-69.588
-69.5887,-69.585
-69.5857,-69.582
-69.5827,-69.5789
-69.5796,-69.5759
-69.5766,-69.5728
-69.5736,-69.5698
-69.5705,-69.5667
-69.5675,-69.5636
-69.5644,-69.5606
-69.5613,-69.5575
-69.5583,-69.5544
-69.5552,-69.5513
-69.5521,-69.5482
-69.549,-69.5451
-69.5459,-69.542
-69.5428,-69.5389
-69.5397,-69.5358
-69.5366,-69.5326
-69.5335,-69.5295
-69.5304,-69.5264
-69.5273,-69.5233
-69.5242,-69.5201
-69.5211,-69.517
-69.5179,-69.5138
-69.5148,-69.5107
-69.5116,-69.5075
-69.5085,-69.5044
-69.5054,-69.5012
-69.5022,-69.498
-69.4991,-69.4949
-69.4959,-69.4917
-69.4927,-69.4885
-69.4896,-69.4853
-69.4864,-69.4822
-69.4832,-69.479
-69.4801,-69.4758
-69.4769,-69.4726
-69.4737,-69.4694
-69.4705,-69.4662
-69.4673,-69.463
-69.4642,-69.4598
-69.461,-69.4566
-69.4578,-69.4534
